Date,Close,Volume,Open,High,Low
12/31/2019,323.57,3714837,322,324.916,321.09
12/30/2019,323.31,4315267,329.08,329.185,322.86
12/27/2019,329.09,5037156,332.96,333.82,326.01
12/26/2019,332.63,3595854,334.6,336.4623,332.01
12/24/2019,333.2,2019322,334.01,335.7,331.6
12/23/2019,333.1,5767937,337.76,337.95,331.0201
12/20/2019,336.9,9923260,335,338,330.6
12/19/2019,332.22,9833355,324.5,332.83,324.18
12/18/2019,320.8,11210740,316.26,325.36,315.6
12/17/2019,315.48,10437130,307.36,316.8,306.6
12/16/2019,304.21,4660166,300.85,305.71,298.63
12/13/2019,298.5,3883069,298.5,301.8,297.25
12/12/2019,298.44,4771404,295.67,299.165,295.06
12/11/2019,298.93,5607155,294.49,299.43,294.2
12/10/2019,293.12,10481240,296.12,298.94,292.02
12/09/2019,302.5,5766006,307.35,311.49,302.44
12/06/2019,307.35,4459684,304.7,307.8495,302.6
12/05/2019,302.86,4618867,305.27,306.48,298.81
12/04/2019,304.32,3513551,308.43,308.43,303.2727
12/03/2019,306.16,5272447,302.22,307.36,301.88
12/02/2019,309.99,6223135,314.39,314.39,303.75
11/29/2019,314.66,2411749,315.78,316.62,313.34
11/27/2019,315.93,4100975,313.93,316.82,312.75
11/26/2019,312.49,5328348,315,316.5,311.69
11/25/2019,315.55,7878943,308.83,315.73,305.25
11/22/2019,310.48,5970056,309.1,311.4,304.41
11/21/2019,311.69,7488373,306,312.69,304.2622
11/20/2019,305.16,5115546,301.01,308.25,301
11/19/2019,302.6,5919710,304.01,305.6699,298.5201
11/18/2019,302.57,8621566,296,304.99,293.28
11/15/2019,295.03,6337779,290.59,295.8186,287.568
11/14/2019,289.62,6539771,283.25,290.63,283.22
11/13/2019,283.11,9233066,291.03,293.41,281.14
11/12/2019,292.01,5774833,295.32,295.345,288.7
11/11/2019,294.18,3945885,289.16,296.36,288.5
11/08/2019,291.57,4509588,288.73,293.99,287.505
11/07/2019,289.57,5928471,290.7,298.19,288.2679
11/06/2019,288.59,3438257,288.19,290.56,285.84
11/05/2019,288.03,4062370,289.99,291.19,286.31
11/04/2019,292.86,5566213,288,295.39,287.16
11/01/2019,286.81,5594293,288.7,289.12,283.02
10/31/2019,287.41,5090021,291,291.45,284.78
10/30/2019,291.45,9345562,284.34,293.49,283
10/29/2019,281.21,4356181,281.87,284.41,277.545
10/28/2019,281.86,6248433,278.05,285.75,277.35
10/25/2019,276.82,4747829,270.68,277.77,270.18
10/24/2019,271.5,4911033,271.81,274.02,268.8
10/23/2019,271.27,7154430,268.06,273.92,266.63
10/22/2019,266.69,11865590,271.159,275.41,265.8
10/21/2019,278.05,12633960,272.89,279.9399,269
10/18/2019,275.3,23449640,289.36,290.9,273.36
10/17/2019,293.35,38462340,304.49,308.75,288.3001
10/16/2019,286.28,18413340,283.12,288.17,280.7431
10/15/2019,284.25,7728161,283.82,285.87,279.4
10/14/2019,285.53,5543120,283.93,286.93,282
10/11/2019,282.93,8817301,284.8,287.87,275.8947
10/10/2019,280.48,10961190,265.97,280.53,265.0337
10/09/2019,267.53,6843488,270.02,271,264.57
10/08/2019,270.72,6302269,273.03,275.53,270.6427
10/07/2019,274.46,6796811,271.99,276.68,271.28
10/04/2019,272.79,9992774,268.2,275.4846,266.47
